layer,sparsity_pct,top1,top1_drop
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Conv2d,0,71.88,0.0
Conv2d,10,71.86,0.01999999999999602
Conv2d,20,71.87,0.009999999999990905
Conv2d,50,70.44,1.4399999999999977
Conv2d,70,65.9,5.97999999999999
Conv2d,80,59.75,12.129999999999995
Conv2d,90,48.29,23.589999999999996
Linear,0,71.88,0.0
Linear,10,71.88,0.0
Linear,20,71.88,0.0
Linear,50,71.88,0.0
Linear,70,71.79,0.0899999999999892
Linear,80,71.79,0.0899999999999892
Linear,90,71.81,0.06999999999999318
Linear,0,71.88,0.0
Linear,10,71.88,0.0
Linear,20,71.88,0.0
Linear,50,71.88,0.0
Linear,70,71.79,0.0899999999999892
Linear,80,71.79,0.0899999999999892
Linear,90,71.81,0.06999999999999318
Linear,0,71.88,0.0
Linear,10,71.88,0.0
Linear,20,71.88,0.0
Linear,50,71.88,0.0
Linear,70,71.79,0.0899999999999892
Linear,80,71.79,0.0899999999999892
Linear,90,71.81,0.06999999999999318
